# generated large 1D fixture
# 401 bins and 3 timesteps
# Chunk Coord1 Ncount c_rho
100 401 6271
1 0 9 0.86083521
2 0.025 9 0.86965516
3 0.05 10 0.87823636
4 0.075 10 0.88654832
5 0.1 10 0.89456186
6 0.125 10 0.90224931
7 0.15 10 0.90958459
8 0.175 10 0.91654334
9 0.2 11 0.92310305
10 0.225 11 0.92924318
11 0.25 11 0.93494523
12 0.275 11 0.94019287
13 0.3 11 0.94497203
14 0.325 11 0.94927096
15 0.35 11 0.95308032
16 0.375 11 0.95639325
17 0.4 11 0.95920542
18 0.425 11 0.96151507
19 0.45 12 0.96332307
20 0.475 12 0.96463292
21 0.5 12 0.96545081
22 0.525 12 0.96578558
23 0.55 12 0.96564878
24 0.575 12 0.96505459
25 0.6 12 0.96401985
26 0.625 12 0.96256404
27 0.65 12 0.96070919
28 0.675 12 0.95847986
29 0.7 12 0.9559031
30 0.725 11 0.95300834
31 0.75 11 0.94982733
32 0.775 11 0.94639408
33 0.8 11 0.9427447
34 0.825 11 0.93891737
35 0.85 11 0.93495215
36 0.875 11 0.93089092
37 0.9 11 0.92677721
38 0.925 11 0.92265609
39 0.95 11 0.918574
40 0.975 11 0.91457862
41 1 11 0.91071867
42 1.025 11 0.90704381
43 1.05 11 0.90360441
44 1.075 11 0.90045143
45 1.1 11 0.89763617
46 1.125 11 0.89521017
47 1.15 11 0.89322494
48 1.175 11 0.89173184
49 1.2 11 0.89078184
50 1.225 11 0.89042536
51 1.25 11 0.89071205
52 1.275 11 0.8916906
53 1.3 11 0.89340856
54 1.325 11 0.89591214
55 1.35 11 0.89924599
56 1.375 11 0.90345307
57 1.4 11 0.90857438
58 1.425 11 0.91464886
59 1.45 12 0.92171315
60 1.475 12 0.92980145
61 1.5 12 0.93894531
62 1.525 12 0.94917352
63 1.55 12 0.96051191
64 1.575 13 0.97298323
65 1.6 13 0.98660698
66 1.625 13 1.0013993
67 1.65 14 1.0173729
68 1.675 14 1.0345367
69 1.7 14 1.0528961
70 1.725 15 1.0724527
71 1.75 15 1.0932041
72 1.775 16 1.1151441
73 1.8 16 1.1382624
74 1.825 16 1.1625446
75 1.85 17 1.1879724
76 1.875 17 1.2145233
77 1.9 18 1.2421707
78 1.925 19 1.270884
79 1.95 19 1.3006285
80 1.975 20 1.3313656
81 2 20 1.3630526
82 2.025 21 1.3956431
83 2.05 21 1.4290867
84 2.075 22 1.4633295
85 2.1 23 1.498314
86 2.125 23 1.5339792
87 2.15 24 1.570261
88 2.175 25 1.6070919
89 2.2 25 1.6444017
90 2.225 26 1.6821174
91 2.25 27 1.7201634
92 2.275 28 1.7584616
93 2.3 28 1.7969321
94 2.325 29 1.835493
95 2.35 30 1.8740607
96 2.375 30 1.9125502
97 2.4 31 1.9508756
98 2.425 32 1.98895
99 2.45 32 2.026686
100 2.475 33 2.0639958
101 2.5 34 2.100792
102 2.525 34 2.136987
103 2.55 35 2.1724942
104 2.575 35 2.2072279
105 2.6 36 2.2411033
106 2.625 37 2.2740375
107 2.65 37 2.3059492
108 2.675 38 2.3367592
109 2.7 38 2.3663906
110 2.725 39 2.3947694
111 2.75 39 2.4218243
112 2.775 40 2.4474873
113 2.8 40 2.4716938
114 2.825 40 2.494383
115 2.85 41 2.5154978
116 2.875 41 2.5349855
117 2.9 41 2.5527975
118 2.925 42 2.5688898
119 2.95 42 2.5832231
120 2.975 42 2.595763
121 3 42 2.60648
122 3.025 42 2.6153497
123 3.05 43 2.6223528
124 3.075 43 2.6274755
125 3.1 43 2.630709
126 3.125 43 2.6320502
127 3.15 43 2.6315009
128 3.175 43 2.6290688
129 3.2 42 2.6247665
130 3.225 42 2.6186121
131 3.25 42 2.6106288
132 3.275 42 2.600845
133 3.3 42 2.5892939
134 3.325 42 2.5760139
135 3.35 41 2.5610479
136 3.375 41 2.5444434
137 3.4 41 2.5262521
138 3.425 40 2.5065301
139 3.45 40 2.4853374
140 3.475 40 2.4627376
141 3.5 39 2.4387977
