# generated large 2D fixture
# 61 x 41 grid and 3 timesteps
# Chunk Coord1 Coord2 Ncount c_rho
100 2501 12505
1 0 0 2 0.89
2 0.05 0 3 1.2201877
3 0.1 0 4 1.5503019
4 0.15 0 5 1.8802694
5 0.2 0 2 0.93001845
6 0.25 0 3 1.2594785
7 0.3 0 4 1.5885813
8 0.35 0 5 1.9172611
9 0.4 0 2 0.96545516
10 0.45 0 3 1.2931044
11 0.5 0 4 1.6201536
12 0.55 0 5 1.9465519
13 0.6 0 2 0.99225296
14 0.65 0 3 1.3172157
15 0.7 0 4 1.6414043
16 0.75 0 5 1.9647884
17 0.8 0 2 1.0073438
18 0.85 0 3 1.3290518
19 0.9 0 4 1.6499002
20 0.95 0 5 1.9698828
21 1 0 2 1.0089998
22 1.05 0 3 1.3272575
23 1.1 0 4 1.6446686
24 1.15 0 5 1.9612517
25 1.2 0 2 0.99703144
26 1.25 0 3 1.3120384
27 1.3 0 4 1.6263085
28 1.35 0 5 1.9398833
29 1.4 0 2 0.972809
30 1.45 0 3 1.2851368
31 1.5 0 4 1.596922
32 1.55 0 5 1.9082241
33 1.6 0 2 0.9391057
34 1.65 0 3 1.2496327
35 1.7 0 4 1.5598736
36 1.75 0 5 1.8698988
37 1.8 0 2 0.89978026
38 1.85 0 3 1.2095911
39 1.9 0 4 1.5194049
40 1.95 0 5 1.8292952
41 2 0 2 0.85933507
42 2.05 0 3 1.1695963
43 2.1 0 4 1.4801493
44 2.15 0 5 1.7910622
45 2.2 0 2 0.82240073
46 2.25 0 3 1.1342273
47 2.3 0 4 1.4466011
48 2.35 0 5 1.759577
49 2.4 0 2 0.79320587
50 2.45 0 3 1.1075336
51 2.5 0 4 1.4226013
52 2.55 0 5 1.7384444
53 2.6 0 2 0.77509304
54 2.65 0 3 1.0925714
55 2.7 0 4 1.4108976
56 2.75 0 5 1.7300839
57 2.8 0 2 0.77013598
58 2.85 0 3 1.0910536
59 2.9 0 4 1.4128301
60 2.95 0 5 1.7354526
61 3 0 2 0.77890224
62 0 0.06 4 1.53
63 0.05 0.06 5 1.8601518
64 0.1 0.06 2 0.9102303
65 0.15 0.06 3 1.2401627
66 0.2 0.06 4 1.5698773
67 0.25 0.06 5 1.899304
68 0.3 0.06 2 0.94837472
69 0.35 0.06 3 1.2770239
70 0.4 0.06 4 1.6051891
71 0.45 0.06 5 1.9328114
72 0.5 0.06 2 0.97983577
73 0.55 0.06 3 1.3062115
74 0.6 0.06 4 1.6318924
75 0.65 0.06 5 1.9568377
76 0.7 0.06 2 1.0010115
77 0.75 0.06 3 1.3243837
78 0.8 0.06 4 1.64693
79 0.85 0.06 5 1.968632
80 0.9 0.06 2 1.0094774
81 0.95 0.06 3 1.3294601
82 1 0.06 4 1.6485802
83 1.05 0.06 5 1.9668441
84 1.1 0.06 2 1.0042643
85 1.15 0.06 3 1.3208594
86 1.2 0.06 4 1.6366541
87 1.25 0.06 5 1.9516786
88 1.3 0.06 2 0.98596895
89 1.35 0.06 3 1.2995663
90 1.4 0.06 4 1.612517
91 1.45 0.06 5 1.9248719
92 1.5 0.06 2 0.95668608
93 1.55 0.06 3 1.2680188
94 1.6 0.06 4 1.5789326
95 1.65 0.06 5 1.889493
96 1.7 0.06 2 0.91976828
97 1.75 0.06 3 1.2298286
98 1.8 0.06 4 1.5397458
99 1.85 0.06 5 1.8495926
100 1.9 0.06 2 0.87944229
101 1.95 0.06 3 1.1893683
102 2 0.06 4 1.4994432
103 2.05 0.06 5 1.8097388
104 2.1 0.06 2 0.84032506
105 2.15 0.06 3 1.15127
106 2.2 0.06 4 1.4626391
107 2.25 0.06 5 1.7744945
108 2.3 0.06 2 0.80689514
109 2.35 0.06 3 1.1198958
110 2.4 0.06 4 1.4335472
111 2.45 0.06 5 1.7478949
112 2.5 0.06 2 0.78297996
113 2.55 0.06 3 1.0988377
114 2.6 0.06 4 1.4154982
115 2.65 0.06 5 1.7329854
116 2.7 0.06 2 0.77131757
117 2.75 0.06 3 1.0905067
118 2.8 0.06 4 1.4105586
119 2.85 0.06 5 1.731473
120 2.9 0.06 2 0.77324321
121 2.95 0.06 3 1.0958565
122 3 0.06 4 1.419294
123 0 0.12 2 0.89
124 0.05 0.12 3 1.2200443
125 0.1 0.12 4 1.5500161
126 0.15 0.12 5 1.8798433
127 0.2 0.12 2 0.92945504
128 0.25 0.12 3 1.2587819
129 0.3 0.12 4 1.5877565
130 0.35 0.12 5 1.9163141
131 0.4 0.12 2 0.96439284
132 0.45 0.12 3 1.2919344
133 0.5 0.12 4 1.6188844
134 0.55 0.12 5 1.9451926
135 0.6 0.12 2 0.99081336
136 0.65 0.12 3 1.3157062
137 0.7 0.12 4 1.6398358
138 0.75 0.12 5 1.9631723
139 0.8 0.12 2 1.0056917
140 0.85 0.12 3 1.3273757
141 0.9 0.12 4 1.6482121
142 0.95 0.12 5 1.968195
143 1 0.12 2 1.0073244
144 1.05 0.12 3 1.3256067
145 1.1 0.12 4 1.6430542
146 1.15 0.12 5 1.9596854
147 1.2 0.12 2 0.99552456
148 1.25 0.12 3 1.3106018
149 1.3 0.12 4 1.6249526
150 1.35 0.12 5 1.9386178
151 1.4 0.12 2 0.97164314
152 1.45 0.12 3 1.284079
153 1.5 0.12 4 1.5959799
154 1.55 0.12 5 1.9074044
155 1.6 0.12 2 0.93841435
156 1.65 0.12 3 1.2490748
157 1.7 0.12 4 1.559453
158 1.75 0.12 5 1.8696186
159 1.8 0.12 2 0.89964256
160 1.85 0.12 3 1.2095969
161 1.9 0.12 4 1.5195541
162 1.95 0.12 5 1.8295867
163 2 0.12 2 0.85976679
164 2.05 0.12 3 1.1701651
165 2.1 0.12 4 1.4808511
166 2.15 0.12 5 1.791892
