# generated large cluster fixture
# 1200 clusters and 3 timesteps
# Chunk c_x c_y c_z vx vy vz Ncount
100 1200 315900
1 8.2564079 4.1937085 2.3461524 0.41211194 1.0417112 0.0094994284 33
2 3.6728157 7.507417 1.5423048 0.46622307 1.031793 0.018995428 53
3 11.089224 2.8211255 0.73845727 0.5198862 1.0211226 0.02848457 75
4 6.5056315 6.134834 2.9346097 0.57304976 1.0097078 0.037963429 99
5 1.9220393 1.4485425 2.1307621 0.62566266 0.99755705 0.047428584 125
6 9.3384472 4.762251 1.3269145 0.67767435 0.98467909 0.056876618 153
7 4.7548551 0.075959493 0.52306696 0.72903484 0.97108335 0.06630412 183
8 0.17126292 3.389668 2.7192194 0.77969479 0.95677973 0.075707687 215
9 7.5876708 6.7033765 1.9153718 0.82960551 0.94177866 0.085083925 249
10 3.0040787 2.017085 1.1115242 0.87871904 0.92609107 0.094429447 285
11 10.420487 5.3307935 0.30767665 0.9269882 0.90972841 0.10374088 323
12 5.8368944 0.64450199 2.5038291 0.97436659 0.89270259 0.11301487 363
13 1.2533022 3.9582105 1.6999815 1.0208087 0.87502604 0.12224806 405
14 8.6697101 7.271919 0.89613392 1.0662699 0.85671162 0.13143711 449
15 4.086118 2.5856275 0.092286341 1.1107064 0.83777271 0.14057873 495
16 11.502526 5.899336 2.2884388 1.1540757 0.81822309 0.14966959 43
17 6.9189337 1.2130445 1.4845912 1.196336 0.79807703 0.15870642 93
18 2.3353416 4.526753 0.68074361 1.2374467 0.7773492 0.16768597 145
19 9.7517494 7.8404615 2.876896 1.2773683 0.75605472 0.17660498 199
20 5.1681573 3.15417 2.0730485 1.3160625 0.73420911 0.18546023 255
21 0.58456517 6.4678785 1.2692009 1.353492 0.71182829 0.19424854 313
22 8.000973 1.781587 0.4653533 1.3896209 0.68892858 0.20296673 373
23 3.4173809 5.0952955 2.6615057 1.4244146 0.66552668 0.21161165 435
24 10.833789 0.40900398 1.8576581 1.4578394 0.64163963 0.22018018 499
25 6.2501966 3.7227125 1.0538106 1.4898634 0.61728486 0.22866922 65
26 1.6666045 7.036421 0.24996299 1.5204557 0.59248011 0.23707572 133
27 9.0830124 2.3501295 2.4461154 1.549587 0.56724348 0.24539664 203
28 4.4994202 5.663838 1.6422678 1.5772293 0.54159334 0.25362897 275
29 11.915828 0.97754647 0.83842026 1.603356 0.51554841 0.26176975 349
30 7.332236 4.291255 0.034572681 1.6279419 0.48912767 0.26981602 425
31 2.7486438 7.6049635 2.2307251 1.6509636 0.46235037 0.2777649 3
32 10.165052 2.918672 1.4268775 1.6723988 0.43523605 0.28561351 83
33 5.5814595 6.2323805 0.62302995 1.6922269 0.40780445 0.29335901 165
34 0.99786741 1.546089 2.8191824 1.710429 0.38007558 0.30099862 249
35 8.4142753 4.8597975 2.0153348 1.7269874 0.35206966 0.30852957 335
36 3.8306831 0.17350596 1.2114872 1.7418864 0.32380709 0.31594914 423
37 11.247091 3.4872145 0.40763964 1.7551115 0.29530848 0.32325466 13
38 6.6634989 6.800923 2.6037921 1.7666501 0.2665946 0.33044348 105
39 2.0799067 2.1146315 1.7999445 1.7764911 0.23768639 0.33751302 199
40 9.4963146 5.42834 0.99609691 1.784625 0.20860491 0.34446072 295
41 4.9127225 0.74204846 0.19224933 1.7910441 0.17937138 0.35128408 393
42 0.32913033 4.055757 2.3884018 1.795742 0.15000708 0.35798062 493
43 7.7455382 7.3694655 1.5845542 1.7987144 0.12053344 0.36454794 95
44 3.1619461 2.683174 0.7807066 1.7999584 0.090971937 0.37098366 199
45 10.578354 5.9968825 2.976859 1.7994728 0.061344118 0.37728546 305
46 5.9947618 1.310591 2.1730114 1.797258 0.031671582 0.38345106 413
47 1.4111697 4.6242995 1.3691639 1.7933162 0.0019759584 0.38947824 23
48 8.8275775 7.938008 0.56531629 1.7876511 -0.027721105 0.39536483 135
49 4.2439854 3.2517164 2.7614687 1.7802683 -0.057397962 0.40110869 249
50 11.660393 6.5654249 1.9576211 1.7711747 -0.087032978 0.40670775 365
51 7.0768011 1.8791334 1.1537736 1.7603792 -0.11660455 0.41216 483
52 2.493209 5.1928419 0.34992598 1.7478921 -0.14609112 0.41746346 103
53 9.9096168 0.50655044 2.5460784 1.7337254 -0.1754712 0.42261623 225
54 5.3260247 3.8202589 1.7422308 1.7178927 -0.20472337 0.42761643 349
55 0.74243258 7.1339674 0.93838325 1.7004093 -0.23382631 0.43246227 475
56 8.1588404 2.4476759 0.13453567 1.6812919 -0.26275879 0.43715199 103
57 3.5752483 5.7613844 2.3306881 1.6605589 -0.29149974 0.44168391 233
58 10.991656 1.0750929 1.5268405 1.6382302 -0.32002819 0.44605638 365
59 6.408064 4.3888014 0.72299294 1.6143273 -0.34832336 0.45026784 499
60 1.8244719 7.7025099 2.9191454 1.5888732 -0.37636462 0.45431675 135
61 9.2408798 3.0162184 2.1152978 1.5618923 -0.40413152 0.45820166 273
62 4.6572876 6.3299269 1.3114502 1.5334106 -0.43160383 0.46192116 413
63 0.073695495 1.6436354 0.50760263 1.5034553 -0.45876152 0.46547391 55
64 7.4901034 4.9573439 2.7037551 1.4720554 -0.48558479 0.46885863 199
65 2.9065112 0.27105243 1.8999075 1.4392409 -0.51205409 0.4720741 345
66 10.322919 3.5847609 1.0960599 1.4050434 -0.53815013 0.47511916 493
67 5.739327 6.8984694 0.29221232 1.3694958 -0.56385388 0.4779927 143
68 1.1557348 2.2121779 2.4883647 1.3326322 -0.58914661 0.48069369 295
69 8.5721427 5.5258864 1.6845172 1.294488 -0.61400987 0.48322116 449
70 3.9885506 0.83959493 0.88066959 1.2550999 -0.63842555 0.48557419 105
71 11.404958 4.1533034 0.076822012 1.2145058 -0.66237584 0.48775193 263
72 6.8213663 7.4670119 2.2729744 1.1727446 -0.68584329 0.4897536 423
73 2.2377741 2.7807204 1.4691269 1.1298566 -0.7088108 0.49157848 85
74 9.654182 6.0944289 0.66527928 1.0858828 -0.73126161 0.49322589 249
75 5.0705899 1.4081374 2.8614317 1.0408655 -0.75317936 0.49469526 415
76 0.48699774 4.7218459 2.0575841 0.9948481 -0.77454808 0.49598605 83
77 7.9034056 0.03555442 1.2537365 0.94787469 -0.79535219 0.4970978 253
78 3.3198135 3.3492629 0.44988897 0.89999046 -0.81557652 0.4980301 425
79 10.736221 6.6629714 2.6460414 0.8512414 -0.83520633 0.49878261 99
80 6.1526292 1.9766799 1.8421938 0.80167436 -0.85422731 0.49935507 275
81 1.5690371 5.2903884 1.0383462 0.75133698 -0.8726256 0.49974727 453
82 8.9854449 0.60409691 0.23449866 0.70027761 -0.89038779 0.49995906 133
83 4.4018528 3.9178054 2.4306511 0.64854534 -0.90750092 0.49999038 315
84 11.818261 7.2315139 1.6268035 0.59618986 -0.92395252 0.4998412 499
85 7.2346685 2.5452224 0.82295593 0.54326149 -0.9397306 0.49951159 185
86 2.6510764 5.8589309 0.019108353 0.48981109 -0.95482366 0.49900166 373
87 10.067484 1.1726394 2.2152608 0.43589002 -0.9692207 0.49831159 63
88 5.4838921 4.4863479 1.4114132 0.38155009 -0.98291121 0.49744164 255
89 0.90029999 7.8000564 0.60756562 0.32684352 -0.99588523 0.49639212 449
90 8.3167079 3.1137649 2.803718 0.27182288 -1.0081333 0.4951634 145
91 3.7331157 6.4274734 1.9998705 0.21654104 -1.0196465 0.49375594 343
92 11.149524 1.7411819 1.1960229 0.16105112 -1.0304164 0.49217024 43
93 6.5659314 5.0548904 0.39217531 0.10540644 -1.0404351 0.49040686 245
94 1.9823393 0.3685989 2.5883277 0.049660474 -1.0496955 0.48846646 449
95 9.3987472 3.6823074 1.7844802 -0.0061332117 -1.0581906 0.48634973 155
96 4.815155 6.9960159 0.98063258 -0.061921004 -1.0659144 0.48405742 363
97 0.23156291 2.3097244 0.176785 -0.1176493 -1.0728612 0.48159038 73
98 7.6479708 5.6234329 2.3729374 -0.17326453 -1.0790259 0.47894949 285
99 3.0643786 0.9371414 1.5690898 -0.22871328 -1.0844041 0.47613571 499
100 10.480787 4.2508499 0.76524227 -0.28394225 -1.0889917 0.47315004 215
101 5.8971944 7.5645584 2.9613947 -0.33889837 -1.0927856 0.46999358 433
102 1.3136022 2.8782669 2.1575471 -0.39352884 -1.0957828 0.46666745 153
103 8.7300101 6.1919754 1.3536995 -0.44778116 -1.0979813 0.46317286 375
104 4.146418 1.5056839 0.54985196 -0.50160319 -1.0993794 0.45951106 99
105 11.562826 4.8193924 2.7460044 -0.55494322 -1.0999761 0.45568339 325
106 6.9792337 0.13310089 1.9421568 -0.60775 -1.099771 0.45169123 53
107 2.3956416 3.4468094 1.1383092 -0.65997277 -1.0987641 0.447536 283
108 9.8120494 6.7605179 0.33446165 -0.71156136 -1.0969564 0.44321922 15
109 5.2284573 2.0742264 2.5306141 -0.76246619 -1.0943489 0.43874245 249
110 0.64486515 5.3879349 1.7267665 -0.81263835 -1.0909438 0.43410729 485
111 8.061273 0.70164338 0.92291892 -0.86202963 -1.0867434 0.42931543 223
112 3.4776809 4.0153519 0.11907134 -0.91059257 -1.0817508 0.42436858 463
113 10.894089 7.3290604 2.3152238 -0.9582805 -1.0759697 0.41926855 205
114 6.3104966 2.6427689 1.5113762 -1.0050476 -1.0694043 0.41401716 449
115 1.7269045 5.9564774 0.70752861 -1.0508489 -1.0620592 0.40861632 195
116 9.1433123 1.2701859 2.903681 -1.0956404 -1.05394 0.40306797 443
117 4.5597202 4.5838944 2.0998335 -1.1393791 -1.0450526 0.39737412 193
118 11.976128 7.8976029 1.2959859 -1.182023 -1.0354033 0.39153682 445
119 7.3925359 3.2113114 0.4921383 -1.223531 -1.0249993 0.38555818 199
120 2.8089438 6.5250199 2.6882907 -1.2638633 -1.013848 0.37944035 455
121 10.225352 1.8387284 1.8844431 -1.3029811 -1.0019578 0.37318556 213
122 5.6417595 5.1524369 1.0805956 -1.3408469 -0.98933712 0.36679605 473
123 1.0581674 0.46614537 0.27674799 -1.3774242 -0.97599529 0.36027412 235
124 8.4745753 3.7798539 2.4729004 -1.4126779 -0.961942 0.35362215 499
125 3.8909831 7.0935624 1.6690528 -1.4465742 -0.94718749 0.34684252 265
126 11.307391 2.4072709 0.86520526 -1.4790803 -0.93174253 0.33993768 33
127 6.7237989 5.7209794 0.061357684 -1.5101653 -0.91561837 0.33291013 303
128 2.1402067 1.0346879 2.2575101 -1.539799 -0.89882676 0.3257624 75
129 9.5566146 4.3483964 1.4536625 -1.5679531 -0.88137995 0.31849708 349
130 4.9730224 7.6621049 0.64981495 -1.5946006 -0.86329066 0.31111678 125
131 0.38943031 2.9758134 2.8459674 -1.6197157 -0.84457206 0.30362417 403
132 7.8058382 6.2895219 2.0421198 -1.6432745 -0.8252378 0.29602196 183
133 3.222246 1.6032304 1.2382722 -1.6652541 -0.80530199 0.28831288 465
134 10.638654 4.9169389 0.43442464 -1.6856336 -0.78477914 0.28049973 249
135 6.0550618 0.23064736 2.6305771 -1.7043934 -0.76368423 0.27258532 35
136 1.4714696 3.5443559 1.8267295 -1.7215153 -0.74203262 0.26457251 323
137 8.8878775 6.8580644 1.0228819 -1.736983 -0.71984011 0.25646419 113
138 4.3042854 2.1717729 0.21903433 -1.7507816 -0.69712286 0.2482633 405
139 11.720693 5.4854814 2.4151868 -1.7628978 -0.67389744 0.23997278 199
140 7.1371011 0.79918985 1.6113392 -1.77332 -0.65018078 0.23159563 495
141 2.553509 4.1128984 0.8074916 -1.7820382 -0.62599017 0.22313488 293
142 9.9699168 7.4266069 0.0036440248 -1.789044 -0.60134324 0.21459358 93
143 5.3863247 2.7403154 2.1997964 -1.7943306 -0.57625795 0.20597482 395
144 0.80273256 6.0540239 1.3959489 -1.7978931 -0.5507526 0.1972817 199
145 8.2191404 1.3677323 0.59210129 -1.7997279 -0.52484577 0.18851736 5
146 3.6355483 4.6814408 2.7882537 -1.7998333 -0.49855636 0.17968498 313
147 11.051956 7.9951493 1.9844061 -1.7982092 -0.47190352 0.17078772 123
148 6.468364 3.3088578 1.1805586 -1.7948571 -0.44490668 0.16182882 435
149 1.8847719 6.6225663 0.37671098 -1.7897804 -0.41758553 0.15281149 249
150 9.3011798 1.9362748 2.5728634 -1.7829838 -0.38995997 0.14373901 65
151 4.7175876 5.2499833 1.7690158 -1.7744739 -0.36205015 0.13461463 383
152 0.13399548 0.56369184 0.96516825 -1.7642588 -0.33387641 0.12544166 203
153 7.5504033 3.8774003 0.16132067 -1.7523484 -0.3054593 0.11622341 25
154 2.9668112 7.1911088 2.3574731 -1.7387542 -0.27681951 0.1069632 349
155 10.383219 2.5048173 1.5536255 -1.7234892 -0.24797794 0.097664379 175
156 5.7996269 5.8185258 0.74977794 -1.706568 -0.2189556 0.088330302 3
157 1.2160348 1.1322343 2.9459304 -1.6880069 -0.18977365 0.078964339 333
158 8.6324427 4.4459428 2.1420828 -1.6678238 -0.16045336 0.069569871 165
159 4.0488505 7.7596513 1.3382352 -1.6460381 -0.13101612 0.060150289 499
160 11.465258 3.0733598 0.53438763 -1.6226706 -0.10148336 0.050708993 335
161 6.8816663 6.3870683 2.7305401 -1.5977438 -0.071876632 0.041249392 173
162 2.2980741 1.7007768 1.9266925 -1.5712818 -0.042217507 0.0317749 13
163 9.714482 5.0144853 1.1228449 -1.5433099 -0.012527608 0.022288938 355
164 5.1308899 0.32819383 0.31899732 -1.5138549 0.017171424 0.01279493 199
165 0.54729773 3.6419023 2.5151497 -1.4829453 0.046857939 0.0032963029 45
166 7.9637056 6.9556108 1.7113022 -1.4506107 0.076510296 -0.006203514 393
167 3.3801135 2.2693193 0.90745459 -1.4168821 0.10610688 -0.015701092 243
168 10.796521 5.5830278 0.10360702 -1.3817921 0.13562612 -0.025193001 95
169 6.2129292 0.89673632 2.2997594 -1.3453742 0.16504649 -0.034675816 449
170 1.6293371 4.2104448 1.4959119 -1.3076636 0.19434655 -0.044146114 305
171 9.0457449 7.5241533 0.69206428 -1.2686963 0.22350494 -0.053600475 163
172 4.4621528 2.8378618 2.8882167 -1.22851 0.2525004 -0.063035488 23
173 11.878561 6.1515703 2.0843691 -1.1871432 0.28131181 -0.072447745 385
174 7.2949685 1.4652788 1.2805216 -1.1446356 0.30991815 -0.081833849 249
175 2.7113764 4.7789873 0.47667397 -1.101028 0.33829857 -0.091190412 115
176 10.127784 0.092695817 2.6728264 -1.0563625 0.36643239 -0.10051406 483
177 5.5441921 3.4064043 1.8689788 -1.0106819 0.39429909 -0.10980142 353
178 0.96059997 6.7201128 1.0651312 -0.96403017 0.42187837 -0.11904914 225
