# generated large mass-v fixture
# 501 velocity bins and 3 timesteps
# Chunk mass1ArealDensity mass2ArealDensity massArealDensity
100 501 0
-5000 0.002 0.0010067412 0.0030067412
-4980 0.002 0.0010072867 0.0030072867
-4960 0.002 0.0010078734 0.0030078734
-4940 0.002 0.001008504 0.003008504
-4920 0.002 0.0010091817 0.0030091817
-4900 0.002 0.0010099096 0.0030099096
-4880 0.002 0.0010106911 0.0030106911
-4860 0.002 0.0010115298 0.0030115298
-4840 0.002 0.0010124297 0.0030124297
-4820 0.002 0.0010133946 0.0030133946
-4800 0.002 0.001014429 0.003014429
-4780 0.002 0.0010155374 0.0030155374
-4760 0.002 0.0010167245 0.0030167245
-4740 0.002 0.0010179955 0.0030179955
-4720 0.002 0.0010193557 0.0030193557
-4700 0.002 0.0010208108 0.0030208108
-4680 0.002 0.0010223668 0.0030223668
-4660 0.002 0.00102403 0.00302403
-4640 0.002 0.001025807 0.003025807
-4620 0.002 0.0010277049 0.0030277049
-4600 0.002 0.001029731 0.003029731
-4580 0.002 0.0010318932 0.0030318932
-4560 0.002 0.0010341996 0.0030341997
-4540 0.002 0.0010366589 0.0030366589
-4520 0.002 0.0010392801 0.0030392801
-4500 0.002 0.0010420726 0.0030420726
-4480 0.002 0.0010450466 0.0030450466
-4460 0.002 0.0010482124 0.0030482124
-4440 0.002 0.0010515811 0.0030515811
-4420 0.002 0.0010551641 0.0030551641
-4400 0.002 0.0010589736 0.0030589737
-4380 0.002 0.0010630222 0.0030630223
-4360 0.002 0.0010673232 0.0030673232
-4340 0.002 0.0010718902 0.0030718903
-4320 0.0020000001 0.0010767379 0.003076738
-4300 0.0020000001 0.0010818813 0.0030818814
-4280 0.0020000001 0.0010873363 0.0030873363
-4260 0.0020000001 0.0010931192 0.0030931192
-4240 0.0020000001 0.0010992472 0.0030992473
-4220 0.0020000001 0.0011057383 0.0031057384
-4200 0.0020000001 0.001112611 0.0031126111
-4180 0.0020000002 0.0011198848 0.003119885
-4160 0.0020000002 0.0011275799 0.0031275801
-4140 0.0020000002 0.0011357173 0.0031357176
-4120 0.0020000003 0.0011443188 0.0031443191
-4100 0.0020000003 0.0011534071 0.0031534074
-4080 0.0020000004 0.0011630056 0.003163006
-4060 0.0020000004 0.0011731389 0.0031731393
-4040 0.0020000005 0.0011838321 0.0031838326
-4020 0.0020000006 0.0011951114 0.003195112
-4000 0.0020000007 0.0012070041 0.0032070048
-3980 0.0020000008 0.0012195381 0.0032195389
-3960 0.002000001 0.0012327424 0.0032327434
-3940 0.0020000011 0.0012466471 0.0032466482
-3920 0.0020000013 0.001261283 0.0032612843
-3900 0.0020000016 0.0012766821 0.0032766837
-3880 0.0020000018 0.0012928773 0.0032928792
-3860 0.0020000021 0.0013099026 0.0033099047
-3840 0.0020000025 0.0013277928 0.0033277953
-3820 0.0020000029 0.0013465839 0.0033465868
-3800 0.0020000034 0.0013663128 0.0033663162
-3780 0.0020000039 0.0013870174 0.0033870214
-3760 0.0020000046 0.0014087368 0.0034087414
-3740 0.0020000053 0.0014315108 0.0034315161
-3720 0.0020000062 0.0014553804 0.0034553866
-3700 0.0020000072 0.0014803876 0.0034803948
-3680 0.0020000083 0.0015065753 0.0035065836
-3660 0.0020000096 0.0015339874 0.003533997
-3640 0.0020000112 0.0015626686 0.0035626798
-3620 0.0020000129 0.0015926648 0.0035926778
-3600 0.0020000149 0.0016240227 0.0036240376
-3580 0.0020000173 0.0016567897 0.003656807
-3560 0.0020000199 0.0016910143 0.0036910343
-3540 0.002000023 0.0017267458 0.0037267688
-3520 0.0020000265 0.0017640341 0.0037640606
-3500 0.0020000306 0.00180293 0.0038029606
-3480 0.0020000352 0.0018434851 0.0038435203
-3460 0.0020000405 0.0018857515 0.003885792
-3440 0.0020000466 0.001929782 0.0039298286
-3420 0.0020000536 0.0019756299 0.0039756834
-3400 0.0020000615 0.0020233491 0.0040234106
-3380 0.0020000706 0.002072994 0.0040730645
-3360 0.0020000809 0.0021246192 0.0041247002
-3340 0.0020000927 0.0021782799 0.0041783727
-3320 0.0020001062 0.0022340314 0.0042341376
-3300 0.0020001214 0.0022919291 0.0042920506
-3280 0.0020001388 0.0023520287 0.0043521676
-3260 0.0020001586 0.0024143859 0.0044145445
-3240 0.0020001811 0.0024790561 0.0044792371
-3220 0.0020002066 0.0025460948 0.0045463014
-3200 0.0020002355 0.0026155573 0.0046157927
-3180 0.0020002682 0.0026874983 0.0046877665
-3160 0.0020003053 0.0027619723 0.0047622776
-3140 0.0020003473 0.0028390332 0.0048393805
-3120 0.0020003947 0.0029187342 0.0049191289
-3100 0.0020004484 0.0030011277 0.0050015761
-3080 0.0020005089 0.0030862654 0.0050867742
-3060 0.0020005772 0.0031741977 0.0051747749
-3040 0.0020006541 0.0032649743 0.0052656284
-3020 0.0020007408 0.0033586434 0.0053593842
-3000 0.0020008384 0.0034552517 0.0054560901
-2980 0.0020009481 0.0035548448 0.0055557929
-2960 0.0020010714 0.0036574664 0.0056585378
-2940 0.0020012098 0.0037631584 0.0057643682
-2920 0.0020013652 0.003871961 0.0058733262
-2900 0.0020015394 0.0039839122 0.0059854516
-2880 0.0020017346 0.0040990479 0.0061007825
-2860 0.0020019531 0.0042174018 0.0062193548
-2840 0.0020021975 0.0043390049 0.0063412024
-2820 0.0020024707 0.0044638858 0.0064663565
-2800 0.0020027759 0.0045920702 0.0065948461
-2780 0.0020031165 0.0047235812 0.0067266977
-2760 0.0020034963 0.0048584386 0.006861935
-2740 0.0020039197 0.0049966591 0.0070005788
-2720 0.002004391 0.0051382562 0.0071426472
-2700 0.0020049155 0.0052832398 0.0072881553
-2680 0.0020054987 0.0054316163 0.007437115
-2660 0.0020061466 0.0055833885 0.0075895351
-2640 0.0020068658 0.0057385552 0.0077454209
-2620 0.0020076636 0.0058971112 0.0079047748
-2600 0.0020085479 0.0060590472 0.0080675951
-2580 0.0020095274 0.0062243499 0.0082338773
-2560 0.0020106113 0.0063930014 0.0084036127
-2540 0.0020118101 0.0065649793 0.0085767894
-2520 0.0020131347 0.0067402569 0.0087533916
-2500 0.0020145973 0.0069188027 0.0089333999
-2480 0.002016211 0.0071005802 0.0091167911
-2460 0.00201799 0.0072855483 0.0093035383
-2440 0.0020199497 0.007473661 0.0094936107
-2420 0.0020221069 0.0076648669 0.0096869739
-2400 0.0020244796 0.00785911 0.0098835896
-2380 0.0020270873 0.0080563287 0.010083416
-2360 0.0020299511 0.0082564564 0.010286407
-2340 0.0020330935 0.0084594211 0.010492515
-2320 0.0020365392 0.0086651457 0.010701685
-2300 0.0020403144 0.0088735476 0.010913862
-2280 0.0020444473 0.0090845387 0.011128986
-2260 0.0020489684 0.0092980259 0.011346994
-2240 0.0020539102 0.0095139105 0.011567821
-2220 0.0020593077 0.0097320885 0.011791396
-2200 0.0020651983 0.0099524504 0.012017649
-2180 0.002071622 0.010174882 0.012246504
-2160 0.0020786214 0.010399262 0.012477884
-2140 0.0020862423 0.010625467 0.01271171
-2120 0.0020945333 0.010853366 0.012947899
-2100 0.0021035463 0.011082824 0.01318637
-2080 0.0021133362 0.011313699 0.013427036
-2060 0.0021239618 0.011545848 0.01366981
-2040 0.0021354851 0.011779121 0.013914606
-2020 0.0021479723 0.012013361 0.014161334
-2000 0.0021614932 0.012248412 0.014409905
-1980 0.0021761216 0.012484108 0.014660229
-1960 0.0021919359 0.012720282 0.014912218
-1940 0.0022090184 0.012956763 0.015165782
-1920 0.0022274561 0.013193375 0.015420831
-1900 0.0022473407 0.013429939 0.01567728
-1880 0.0022687686 0.013666272 0.015935041
-1860 0.0022918409 0.013902189 0.01619403
-1840 0.0023166641 0.014137499 0.016454163
-1820 0.0023433494 0.014372012 0.016715362
-1800 0.0023720134 0.014605534 0.016977547
-1780 0.0024027781 0.014837867 0.017240645
-1760 0.0024357706 0.015068814 0.017504585
-1740 0.0024711236 0.015298173 0.017769297
-1720 0.0025089752 0.015525744 0.018034719
-1700 0.0025494692 0.015751323 0.018300792
-1680 0.0025927545 0.015974705 0.01856746
-1660 0.0026389859 0.016195688 0.018834674
-1640 0.0026883234 0.016414065 0.019102389
-1620 0.0027409325 0.016629633 0.019370565
-1600 0.0027969841 0.016842186 0.01963917
-1580 0.0028566542 0.017051521 0.019908175
-1560 0.0029201238 0.017257435 0.020177559
-1540 0.002987579 0.017459726 0.020447306
-1520 0.0030592106 0.017658195 0.020717406
-1500 0.0031352138 0.017852644 0.020987857
-1480 0.003215788 0.018042876 0.021258664
-1460 0.0033011366 0.018228698 0.021529835
-1440 0.0033914667 0.018409921 0.021801388
-1420 0.0034869885 0.018586358 0.022073346
-1400 0.0035879151 0.018757824 0.022345739
-1380 0.0036944618 0.018924141 0.022618602
-1360 0.0038068462 0.019085132 0.022891978
-1340 0.0039252868 0.019240628 0.023165915
-1320 0.0040500032 0.019390462 0.023440465
-1300 0.0041812153 0.019534473 0.023715688
-1280 0.0043191422 0.019672505 0.023991647
-1260 0.0044640022 0.019804409 0.024268411
-1240 0.0046160117 0.019930041 0.024546052
-1220 0.0047753843 0.020049262 0.024824646
-1200 0.0049423304 0.020161941 0.025104272
-1180 0.0051170561 0.020267955 0.025385011
-1160 0.0052997623 0.020367184 0.025666946
-1140 0.0054906441 0.020459518 0.025950162
-1120 0.0056898894 0.020544855 0.026234744
-1100 0.0058976782 0.020623097 0.026520775
-1080 0.0061141819 0.020694158 0.02680834
-1060 0.0063395617 0.020757957 0.027097519
-1040 0.0065739678 0.020814422 0.027388389
-1020 0.0068175386 0.020863488 0.027681027
-1000 0.0070703995 0.020905101 0.0279755
-980 0.0073326614 0.020939213 0.028271874
-960 0.0076044205 0.020965784 0.028570205
-940 0.0078857563 0.020984786 0.028870542
-920 0.0081767313 0.020996195 0.029172927
-900 0.0084773894 0.021 0.029477389
-880 0.0087877552 0.020996195 0.029783951
-860 0.0091078328 0.020984786 0.030092619
-840 0.0094376048 0.020965784 0.030403389
-820 0.0097770315 0.020939213 0.030716244
-800 0.01012605 0.020905101 0.031031151
-780 0.010484573 0.020863488 0.031348061
-760 0.010852488 0.020814422 0.031666909
-740 0.011229657 0.020757957 0.031987614
-720 0.011615916 0.020694158 0.032310074
-700 0.012011072 0.020623097 0.03263417
-680 0.012414908 0.020544855 0.032959762
-660 0.012827174 0.020459518 0.033286692
-640 0.013247595 0.020367184 0.033614778
-620 0.013675865 0.020267955 0.03394382
-600 0.014111651 0.020161941 0.034273593
-580 0.014554589 0.020049262 0.034603851
-560 0.015004286 0.019930041 0.034934327
-540 0.01546032 0.019804409 0.03526473
-520 0.015922241 0.019672505 0.035594746
-500 0.016389568 0.019534473 0.035924041
-480 0.016861794 0.019390462 0.036252256
-460 0.017338383 0.019240628 0.036579011
-440 0.017818773 0.019085132 0.036903905
-420 0.018302374 0.018924141 0.037226515
-400 0.018788574 0.018757824 0.037546398
-380 0.019276732 0.018586358 0.03786309
-360 0.019766189 0.018409921 0.03817611
-340 0.02025626 0.018228698 0.038484959
-320 0.020746242 0.018042876 0.038789118
-300 0.021235412 0.017852644 0.039088055
-280 0.021723029 0.017658195 0.039381225
-260 0.022208339 0.017459726 0.039668065
-240 0.022690571 0.017257435 0.039948006
-220 0.023168945 0.017051521 0.040220466
-200 0.023642669 0.016842186 0.040484855
-180 0.024110943 0.016629633 0.040740576
-160 0.024572965 0.016414065 0.04098703
-140 0.025027924 0.016195688 0.041223612
-120 0.025475014 0.015974705 0.041449719
-100 0.025913425 0.015751323 0.041664748
-80 0.026342354 0.015525744 0.041868098
-60 0.026761003 0.015298173 0.042059176
-40 0.027168582 0.015068814 0.042237396
-20 0.027564314 0.014837867 0.042402181
0 0.027947433 0.014605534 0.042552967
20 0.02831719 0.014372012 0.042689202
40 0.028672854 0.014137499 0.042810354
60 0.029013717 0.013902189 0.042915906
80 0.02933909 0.013666272 0.043005363
100 0.029648313 0.013429939 0.043078253
120 0.029940752 0.013193375 0.043134127
140 0.030215802 0.012956763 0.043172566
160 0.030472892 0.012720282 0.043193174
180 0.030711483 0.012484108 0.043195591
200 0.030931073 0.012248412 0.043179484
220 0.031131196 0.012013361 0.043144557
240 0.031311427 0.011779121 0.043090547
260 0.031471379 0.011545848 0.043017228
280 0.031610711 0.011313699 0.042924411
300 0.031729121 0.011082824 0.042811945
320 0.031826355 0.010853366 0.042679721
340 0.031902201 0.010625467 0.042527668
360 0.031956494 0.010399262 0.042355756
380 0.031989118 0.010174882 0.042163999
400 0.032 0.0099524504 0.04195245
420 0.031989118 0.0097320885 0.041721206
440 0.031956494 0.0095139105 0.041470405
460 0.031902201 0.0092980259 0.041200227
480 0.031826355 0.0090845387 0.040910894
500 0.031729121 0.0088735476 0.040602669
520 0.031610711 0.0086651457 0.040275857
540 0.031471379 0.0084594211 0.039930801
560 0.031311427 0.0082564564 0.039567883
580 0.031131196 0.0080563287 0.039187525
600 0.030931073 0.00785911 0.038790183
620 0.030711483 0.0076648669 0.03837635
640 0.030472892 0.007473661 0.037946553
660 0.030215802 0.0072855483 0.037501351
680 0.029940752 0.0071005802 0.037041332
700 0.029648313 0.0069188027 0.036567116
720 0.02933909 0.0067402569 0.036079347
740 0.029013717 0.0065649793 0.035578696
760 0.028672854 0.0063930014 0.035065856
780 0.02831719 0.0062243499 0.03454154
800 0.027947433 0.0060590472 0.03400648
820 0.027564314 0.0058971112 0.033461425
840 0.027168582 0.0057385552 0.032907137
860 0.026761003 0.0055833885 0.032344391
880 0.026342354 0.0054316163 0.03177397
900 0.025913425 0.0052832398 0.031196665
920 0.025475014 0.0051382562 0.03061327
940 0.025027924 0.0049966591 0.030024584
960 0.024572965 0.0048584386 0.029431403
980 0.024110943 0.0047235812 0.028834525
1000 0.023642669 0.0045920702 0.028234739
1020 0.023168945 0.0044638858 0.027632831
1040 0.022690571 0.0043390049 0.027029576
1060 0.022208339 0.0042174018 0.026425741
1080 0.021723029 0.0040990479 0.025822077
1100 0.021235412 0.0039839122 0.025219324
1120 0.020746242 0.003871961 0.024618203
1140 0.02025626 0.0037631584 0.024019418
1160 0.019766189 0.0036574664 0.023423655
1180 0.019276732 0.0035548448 0.022831577
1200 0.018788574 0.0034552517 0.022243825
1220 0.018302374 0.0033586434 0.021661018
1240 0.017818773 0.0032649743 0.021083747
1260 0.017338383 0.0031741977 0.020512581
1280 0.016861794 0.0030862654 0.019948059
1300 0.016389568 0.0030011277 0.019390696
1320 0.015922241 0.0029187342 0.018840975
1340 0.01546032 0.0028390332 0.018299354
1360 0.015004286 0.0027619723 0.017766259
1380 0.014554589 0.0026874983 0.017242087
1400 0.014111651 0.0026155573 0.016727209
1420 0.013675865 0.0025460948 0.01622196
1440 0.013247595 0.0024790561 0.015726651
1460 0.012827174 0.0024143859 0.01524156
1480 0.012414908 0.0023520287 0.014766936
1500 0.012011072 0.0022919291 0.014303001
1520 0.011615916 0.0022340314 0.013849947
1540 0.011229657 0.0021782799 0.013407937
1560 0.010852488 0.0021246192 0.012977107
1580 0.010484573 0.002072994 0.012557567
1600 0.01012605 0.0020233491 0.012149399
1620 0.0097770315 0.0019756299 0.011752661
1640 0.0094376048 0.001929782 0.011367387
1660 0.0091078328 0.0018857515 0.010993584
1680 0.0087877552 0.0018434851 0.01063124
1700 0.0084773894 0.00180293 0.010280319
1720 0.0081767313 0.0017640341 0.0099407654
1740 0.0078857563 0.0017267458 0.0096125021
1760 0.0076044205 0.0016910143 0.0092954348
1780 0.0073326614 0.0016567897 0.0089894511
1800 0.0070703995 0.0016240227 0.0086944221
1820 0.0068175386 0.0015926648 0.0084102035
1840 0.0065739678 0.0015626686 0.0081366364
1860 0.0063395617 0.0015339874 0.0078735491
1880 0.0061141819 0.0015065753 0.0076207573
